31;2005;36800
31;2006;36500
31;2007;36171
31;2008;35886
31;2009;35769
31;2010;35610
31;2011;35450
31;2012;34728
31;2013;34112
31;2014;33167
31;2015;32541
31;2016;32139
31;2017;31545
32;2002;34555
32;2003;34555
32;2004;34300
32;2005;33800
32;2006;33400
32;2007;33220
32;2008;33096
32;2009;32317
32;2010;32221
32;2011;30263
32;2012;29639
32;2013;29068
32;2014;28610
32;2015;28261
32;2016;28011
32;2017;27626
33;2002;39554
33;2003;39554
33;2004;38900
33;2005;38300
33;2006;37900
33;2007;37503
33;2008;37444
33;2009;35043
33;2010;34816
33;2011;36152
33;2012;35418
33;2013;34968
33;2014;34418
33;2015;34081
33;2016;33659
33;2017;33359
34;2002;28913
34;2003;28913
34;2004;28300
34;2005;27800
34;2006;27000
34;2007;26553
34;2008;25618
34;2009;25549
34;2010;25217
34;2011;24848
34;2012;24128
34;2013;23838
34;2014;23335
34;2015;23120
34;2016;22944
34;2017;22907
35;2002;25809
35;2003;25809
35;2004;25700
35;2005;25600
35;2006;25600
35;2007;25517
35;2008;25227
35;2009;25317
35;2010;25333
35;2011;24451
35;2012;24364
35;2013;24285
35;2014;24233
35;2015;24281
35;2016;24495
35;2017;24297
36;2002;18406
36;2003;18406
36;2004;18000
36;2005;17700
36;2006;17400
36;2007;16989
36;2008;16763
36;2009;16795
36;2010;16656
36;2011;15940
36;2012;15613
36;2013;15437
36;2014;15123
36;2015;14834
36;2016;14409
36;2017;14227
